seed,beta_mor,beta_rom,beta_catoni,sigma_hat_Ze,all_same_sign,mom_lo,mom_hi,mom_ncomp,mom_unbounded,mom_length,mom_rej0,mom_rejOLS,sn_lo,sn_hi,sn_ncomp,sn_unbounded,sn_length,sn_rej0,sn_rejOLS
525,0.12342832468984889,0.12042081155897139,0.10184687614350026,0.28835953305861145,False,-0.134368602193232,0.4172346024623533,1,False,0.5516032046555852,False,False,0.05335918097748214,0.25718722577250613,1,False,0.20382804479502398,True,False
526,0.10296831815334231,0.10016766537663256,0.10184898828642344,0.4266116964419224,True,-0.28045507748914666,0.4147908207640657,1,False,0.6952458982532124,False,False,0.049319630507555424,0.2457493860130739,1,False,0.19642975550551847,True,False
527,0.09830744635693525,0.07619294972412559,0.10184962926511273,0.17154450594155052,True,-0.025446812565903462,0.26835658755514785,1,False,0.29380340012105133,False,False,0.052158780434274465,0.17014209830163546,1,False,0.11798331786736099,True,False
528,0.11363730634948743,0.13868822469834519,0.10184922385833335,0.17898724333532512,True,-0.028114691312364243,0.30686081113444946,1,False,0.33497550244681373,False,False,0.06748841402908812,0.19288953818069116,1,False,0.12540112415160304,True,False
529,0.08656267403682343,0.06544186217416503,0.10185156151552026,0.2176812278042577,True,-0.12134430884158118,0.2993247486098266,1,False,0.4206690574514078,False,False,0.022565562501506122,0.14495840195379778,1,False,0.12239283945229165,True,False
530,0.05629548057184475,0.11072129656622791,0.10184967690398479,0.25633920081492134,False,-0.13210520602209622,0.3114236945347697,1,False,0.4435289005568659,False,False,0.024553241899564128,0.15491006268207524,1,False,0.13035682078251112,True,False
531,0.09902246451047489,0.11275775361867155,0.10184841576144311,0.3580812325599627,False,-0.206185743271577,0.3942763027749415,1,False,0.6004620460465185,False,False,0.04284358190224964,0.22333065418972434,1,False,0.18048707228747468,True,False
532,0.1087512732130696,0.11528396238496617,0.1018491692803017,0.31021011891100503,False,-0.1492900236776314,0.39180662155838075,1,False,0.5410966452360122,False,False,0.07465244104774493,0.20447067101558053,1,False,0.1298182299678356,True,True
533,0.08728470424116924,0.06462053453677928,0.10184817753236486,0.26539036432864016,False,-0.09334336978407916,0.3124564624203734,1,False,0.40579983220445254,False,False,0.01206765017763874,0.1847103849019091,1,False,0.17264273472427036,True,False
534,0.11425557350662871,0.10484281718393089,0.10184821594693663,0.15997392930252882,False,-0.04659249296169928,0.2474845025022625,1,False,0.29407699546396177,False,False,0.05690141689376724,0.17832715863270737,2,False,0.1093556399614121,True,False
535,0.09459742017382333,0.10608108612213195,0.10184987183620085,0.194559185953305,True,-0.05597351101793106,0.2930718554834029,1,False,0.349045366501334,False,False,0.0346291317464673,0.13877804467554805,1,False,0.10414891292908075,True,False
536,0.0908645216802835,0.09629618456294203,0.1018504804041122,0.21794705037054768,False,-0.09758076276584042,0.28401943596605367,1,False,0.3816001987318941,False,False,0.05600665300597764,0.16989194254586096,2,False,0.10890333484135757,True,False
537,0.0925738849041684,0.07594279299393102,0.10184827974160841,0.2566349429410006,False,-0.13894807433953912,0.2999104935084692,1,False,0.43885856784800836,False,False,0.061992910307834055,0.18278822083590446,1,False,0.12079531052807041,True,False
538,0.10642337834397908,0.1044362579030042,0.101850047612679,0.21744268130087754,False,-0.06581288834902942,0.319926683795876,1,False,0.38573957214490545,False,False,0.043064112798107235,0.15975218684779216,1,False,0.11668807404968493,True,False
539,0.11190098750339456,0.12867747135626,0.10184902406306685,0.3006386626177682,False,-0.12836744968909536,0.36228023216101973,1,False,0.4906476818501151,False,False,0.02885781855958528,0.20160680692446675,1,False,0.17274898836488148,True,False
