dist,estimator,delta,quantile_abs_err
t(2.1),Ratio-of-Medians,0.007151559675115222,0.07142116929159101
t(2.1),Ratio-of-Medians,0.008239225858265201,0.06969937881096949
t(2.1),Ratio-of-Medians,0.009492312981701037,0.06818676134716382
t(2.1),Ratio-of-Medians,0.010935979580191029,0.06672953140182414
t(2.1),Ratio-of-Medians,0.012599210498948727,0.06521061926791068
t(2.1),Ratio-of-Medians,0.014515398829415806,0.06390890011987954
t(2.1),Ratio-of-Medians,0.016723016350475777,0.062439073742823585
t(2.1),Ratio-of-Medians,0.019266385935710145,0.06087194324320282
t(2.1),Ratio-of-Medians,0.022196571434504937,0.059331466508319934
t(2.1),Ratio-of-Medians,0.025572402893367062,0.05759490193117744
t(2.1),Ratio-of-Medians,0.029461657701067987,0.05614792378173613
t(2.1),Ratio-of-Medians,0.033942421371752934,0.05452602004770955
t(2.1),Ratio-of-Medians,0.03910465528678882,0.052866440039649534
t(2.1),Ratio-of-Medians,0.045052002871285045,0.05120823189820793
t(2.1),Ratio-of-Medians,0.05190387046833238,0.04966327337056771
t(2.1),Ratio-of-Medians,0.059797824689177534,0.0479104686672461
t(2.1),Ratio-of-Medians,0.06889235437151585,0.04610509050198753
t(2.1),Ratio-of-Medians,0.07937005259840996,0.04445482111492606
t(2.1),Ratio-of-Medians,0.09144128266400184,0.042699357131988754
t(2.1),Ratio-of-Medians,0.10534840158850287,0.04082711431710406
t(2.1),Ratio-of-Medians,0.12137062597899873,0.03894965045531927
t(2.1),Ratio-of-Medians,0.13982963792914008,0.036999031615267006
t(2.1),Ratio-of-Medians,0.1610960435087286,0.03511625575921205
t(2.1),Ratio-of-Medians,0.1855968135118648,0.03306888906292196
t(2.1),Ratio-of-Medians,0.2138238558533658,0.030945871315736232
t(2.1),Ratio-of-Medians,0.24634389172354024,0.02884395778472814
t(2.1),Ratio-of-Medians,0.2838098337872815,0.026734054197966053
t(2.1),Ratio-of-Medians,0.326973894870344,0.024418209821936838
t(2.1),Ratio-of-Medians,0.37670269031909065,0.022062183780757465
t(2.1),Ratio-of-Medians,0.4339946372474493,0.019386444879280006
t(2.1),Ratio-of-Medians,0.5,0.016714902223865957
t(2.1),Median-of-Ratios,0.002,0.041101079494085625
t(2.1),Median-of-Ratios,0.002304175937155263,0.040256188413724574
t(2.1),Median-of-Ratios,0.0026546133746826648,0.039669124051985624
t(2.1),Median-of-Ratios,0.003058348130197162,0.039178691881167634
t(2.1),Median-of-Ratios,0.0035234860845220423,0.038429779098163884
t(2.1),Median-of-Ratios,0.004059365925428552,0.037760253073873595
t(2.1),Median-of-Ratios,0.004676746642740232,0.03743292842044867
t(2.1),Median-of-Ratios,0.005388023539186853,0.036740734941693026
t(2.1),Median-of-Ratios,0.006207477093910235,0.03607076043753048
t(2.1),Median-of-Ratios,0.007151559675115222,0.0353286265658769
t(2.1),Median-of-Ratios,0.008239225858265201,0.034740076715384205
t(2.1),Median-of-Ratios,0.009492312981701037,0.03401586519924298
t(2.1),Median-of-Ratios,0.010935979580191029,0.03334318895962903
t(2.1),Median-of-Ratios,0.012599210498948727,0.03267190604190255
t(2.1),Median-of-Ratios,0.014515398829415806,0.03203535290558686
t(2.1),Median-of-Ratios,0.016723016350475777,0.0313855913782961
t(2.1),Median-of-Ratios,0.019266385935710145,0.03069054767339375
t(2.1),Median-of-Ratios,0.022196571434504937,0.029923766747800534
t(2.1),Median-of-Ratios,0.025572402893367062,0.02911323096686058
t(2.1),Median-of-Ratios,0.029461657701067987,0.028401787440560333
t(2.1),Median-of-Ratios,0.033942421371752934,0.02754563574317446
t(2.1),Median-of-Ratios,0.03910465528678882,0.02685727685209533
t(2.1),Median-of-Ratios,0.045052002871285045,0.02603195664100354
t(2.1),Median-of-Ratios,0.05190387046833238,0.025214131059737892
t(2.1),Median-of-Ratios,0.059797824689177534,0.024433887969246195
t(2.1),Median-of-Ratios,0.06889235437151585,0.02360388697569007
t(2.1),Median-of-Ratios,0.07937005259840996,0.022739948369518224
t(2.1),Median-of-Ratios,0.09144128266400184,0.02185525075288475
t(2.1),Median-of-Ratios,0.10534840158850287,0.0209444473165842
t(2.1),Median-of-Ratios,0.12137062597899873,0.020036609788751842
t(2.1),Median-of-Ratios,0.13982963792914008,0.019065029246953625
t(2.1),Median-of-Ratios,0.1610960435087286,0.018062264261401027
t(2.1),Median-of-Ratios,0.1855968135118648,0.01703328140969543
t(2.1),Median-of-Ratios,0.2138238558533658,0.0160004431512721
t(2.1),Median-of-Ratios,0.24634389172354024,0.014852116625879408
t(2.1),Median-of-Ratios,0.2838098337872815,0.013771067484794501
t(2.1),Median-of-Ratios,0.326973894870344,0.012599263412025705
t(2.1),Median-of-Ratios,0.37670269031909065,0.011319193308584042
t(2.1),Median-of-Ratios,0.4339946372474493,0.010028803664543668
t(2.1),Median-of-Ratios,0.5,0.008608422783832559
t(2.1),Catoni,0.002,0.044164705019716255
t(2.1),Catoni,0.002304175937155263,0.04328877044767351
t(2.1),Catoni,0.0026546133746826648,0.04251743097368743
t(2.1),Catoni,0.003058348130197162,0.04188427480656326
t(2.1),Catoni,0.0035234860845220423,0.041263715591195994
t(2.1),Catoni,0.004059365925428552,0.04047706361534578
t(2.1),Catoni,0.004676746642740232,0.03984775505100223
t(2.1),Catoni,0.005388023539186853,0.03896207573487553
t(2.1),Catoni,0.006207477093910235,0.0382380375973885
