figure,dist,mu,gamma,estimator,B,R,q_dev,mad_err,median_bias,sd_part,sd_samp,share,fail_t1
strength,t(2.1),0.6,6.944444444444445,Ratio-of-Medians,101,5,0.03598208709013566,0.012637634726058278,3.4009619079400366e-05,0.004418538571662376,0.01800834700105461,0.056783355915402775,0.0
strength,t(2.1),0.4,15.624999999999996,Median-of-Ratios,1,505,0.06427287497374884,0.021374786806533153,0.0011088764135082085,0.02013756145969633,0.025632398720330928,0.38165236708103706,0.05
strength,t(2.1),0.4,15.624999999999996,Median-of-Ratios,5,101,0.054819440329020676,0.018187506253484087,0.0010982537101211776,0.010689848413764884,0.025558982730200443,0.1488830345278253,0.023396039603960396
strength,t(2.1),0.4,15.624999999999996,Median-of-Ratios,25,20,0.05141688141477174,0.017170027833661672,0.0009900671178064702,0.0049195957623149504,0.025538676943501662,0.035779829031411824,0.01635
strength,t(2.1),0.4,15.624999999999996,Median-of-Ratios,101,5,0.05097711728167832,0.01685120794347439,0.0008447417333967699,0.002440424019411117,0.02553529329978267,0.009051074747359614,0.0156
strength,t(2.1),0.4,15.624999999999996,Ratio-of-Medians,1,505,0.1206961998762425,0.03975322791988567,-9.671843150210746e-05,0.054582452153828495,0.027290111445845207,0.8000130694196069,0.05
strength,t(2.1),0.4,15.624999999999996,Ratio-of-Medians,5,101,0.07777995932307558,0.02602793194477404,-6.464081204726746e-05,0.02861061452750608,0.027185128767020134,0.5255316238706429,0.003594059405940594
strength,t(2.1),0.4,15.624999999999996,Ratio-of-Medians,25,20,0.05913595261028565,0.01979553745349477,-0.00011211371125657843,0.013152063967368104,0.027128164091843036,0.190311484470076,0.0001
strength,t(2.1),0.4,15.624999999999996,Ratio-of-Medians,101,5,0.055116603248571004,0.018140244528902394,-4.5867402298949145e-05,0.006511624357458127,0.027144577031372068,0.05441434377746299,0.0
strength,t(2.1),0.3,27.77777777777778,Median-of-Ratios,1,505,0.0861394289154744,0.028818315587454957,0.005785954035254615,0.02902894355996246,0.03234496323480089,0.4461274695286673,0.05
strength,t(2.1),0.3,27.77777777777778,Median-of-Ratios,5,101,0.07057119342165925,0.02394863916084644,0.005334596357341237,0.015390586958548983,0.032193066736582815,0.1860338628525757,0.01777227722772277
strength,t(2.1),0.3,27.77777777777778,Median-of-Ratios,25,20,0.06513148580613308,0.022119147623491764,0.005212527849250859,0.00712461547031362,0.03216005426703101,0.04678228375139276,0.0113
strength,t(2.1),0.3,27.77777777777778,Median-of-Ratios,101,5,0.06383926997764842,0.021601287751143783,0.005257558725496825,0.0035371173329378828,0.0321605881239851,0.011951685330150775,0.0096
strength,t(2.1),0.3,27.77777777777778,Ratio-of-Medians,1,505,0.16227560142492137,0.05287508631408111,-0.0002326250152789866,0.07331693283432615,0.03645438653329179,0.8017804541928021,0.05
strength,t(2.1),0.3,27.77777777777778,Ratio-of-Medians,5,101,0.10370574962397447,0.034596041898945995,-0.00030472931137998094,0.03823623882201215,0.03622206891939009,0.527031195871738,0.0033514851485148514
strength,t(2.1),0.3,27.77777777777778,Ratio-of-Medians,25,20,0.07888108641280138,0.026689922144675027,-0.0006358449438811364,0.017586243103822532,0.03619122421160223,0.19101948088648277,0.000325
strength,t(2.1),0.3,27.77777777777778,Ratio-of-Medians,101,5,0.07150632068526036,0.024915897292608125,-0.0005547605364709662,0.008815609853735492,0.03615681923177174,0.056110658978533894,0.0003
strength,t(2.1),0.2,62.499999999999986,Median-of-Ratios,1,505,0.13287976808428478,0.043844506929174965,0.02369583363873118,0.048673663822360685,0.04018778604409778,0.5946326098530953,0.05
