dist,estimator,delta,quantile_abs_err
"Mix(0.1,3)",Mean IV,0.010935979580191029,0.056819647516740436
"Mix(0.1,3)",Mean IV,0.012599210498948727,0.055677844340039556
"Mix(0.1,3)",Mean IV,0.014515398829415806,0.0545781203262013
"Mix(0.1,3)",Mean IV,0.016723016350475777,0.053301743150446196
"Mix(0.1,3)",Mean IV,0.019266385935710145,0.05226725444409765
"Mix(0.1,3)",Mean IV,0.022196571434504937,0.05119547945508894
"Mix(0.1,3)",Mean IV,0.025572402893367062,0.049848025367397186
"Mix(0.1,3)",Mean IV,0.029461657701067987,0.04858529445285951
"Mix(0.1,3)",Mean IV,0.033942421371752934,0.04728895613872197
"Mix(0.1,3)",Mean IV,0.03910465528678882,0.045939471562154686
"Mix(0.1,3)",Mean IV,0.045052002871285045,0.0446729171755881
"Mix(0.1,3)",Mean IV,0.05190387046833238,0.04335172537354385
"Mix(0.1,3)",Mean IV,0.059797824689177534,0.04192024128572494
"Mix(0.1,3)",Mean IV,0.06889235437151585,0.04052078625692862
"Mix(0.1,3)",Mean IV,0.07937005259840996,0.03902290898857835
"Mix(0.1,3)",Mean IV,0.09144128266400184,0.03757358278424895
"Mix(0.1,3)",Mean IV,0.10534840158850287,0.036083042408237155
"Mix(0.1,3)",Mean IV,0.12137062597899873,0.03452845831725628
"Mix(0.1,3)",Mean IV,0.13982963792914008,0.032881107641151014
"Mix(0.1,3)",Mean IV,0.1610960435087286,0.031194713471609337
"Mix(0.1,3)",Mean IV,0.1855968135118648,0.0294960156372843
"Mix(0.1,3)",Mean IV,0.2138238558533658,0.027675514069801514
"Mix(0.1,3)",Mean IV,0.24634389172354024,0.025828384923055843
"Mix(0.1,3)",Mean IV,0.2838098337872815,0.02386660462655499
"Mix(0.1,3)",Mean IV,0.326973894870344,0.021870412308947002
"Mix(0.1,3)",Mean IV,0.37670269031909065,0.019714638731668482
"Mix(0.1,3)",Mean IV,0.4339946372474493,0.017494420571837394
"Mix(0.1,3)",Mean IV,0.5,0.015130685147010214
"Mix(0.1,3)",Ratio-of-Medians,0.002,0.12371139912520286
"Mix(0.1,3)",Ratio-of-Medians,0.002304175937155263,0.1213226819818984
"Mix(0.1,3)",Ratio-of-Medians,0.0026546133746826648,0.11972672629166385
"Mix(0.1,3)",Ratio-of-Medians,0.003058348130197162,0.11848470687565359
"Mix(0.1,3)",Ratio-of-Medians,0.0035234860845220423,0.1165438030732725
"Mix(0.1,3)",Ratio-of-Medians,0.004059365925428552,0.1140218525192319
"Mix(0.1,3)",Ratio-of-Medians,0.004676746642740232,0.11230527912517259
"Mix(0.1,3)",Ratio-of-Medians,0.005388023539186853,0.11051925723040332
"Mix(0.1,3)",Ratio-of-Medians,0.006207477093910235,0.10834903428636672
"Mix(0.1,3)",Ratio-of-Medians,0.007151559675115222,0.10625420829949007
"Mix(0.1,3)",Ratio-of-Medians,0.008239225858265201,0.10433541135892759
"Mix(0.1,3)",Ratio-of-Medians,0.009492312981701037,0.10204540442953768
"Mix(0.1,3)",Ratio-of-Medians,0.010935979580191029,0.10009144497549667
"Mix(0.1,3)",Ratio-of-Medians,0.012599210498948727,0.09832470443398164
"Mix(0.1,3)",Ratio-of-Medians,0.014515398829415806,0.09653352285221499
"Mix(0.1,3)",Ratio-of-Medians,0.016723016350475777,0.09442136078674222
"Mix(0.1,3)",Ratio-of-Medians,0.019266385935710145,0.09233491259132343
"Mix(0.1,3)",Ratio-of-Medians,0.022196571434504937,0.0900734061041096
"Mix(0.1,3)",Ratio-of-Medians,0.025572402893367062,0.08787414606809227
"Mix(0.1,3)",Ratio-of-Medians,0.029461657701067987,0.08571071766728626
"Mix(0.1,3)",Ratio-of-Medians,0.033942421371752934,0.08360893922247127
"Mix(0.1,3)",Ratio-of-Medians,0.03910465528678882,0.08149350825794997
"Mix(0.1,3)",Ratio-of-Medians,0.045052002871285045,0.07883830993375501
"Mix(0.1,3)",Ratio-of-Medians,0.05190387046833238,0.07661650900507556
"Mix(0.1,3)",Ratio-of-Medians,0.059797824689177534,0.07435392094050447
"Mix(0.1,3)",Ratio-of-Medians,0.06889235437151585,0.07182204471415057
"Mix(0.1,3)",Ratio-of-Medians,0.07937005259840996,0.06926356569517687
"Mix(0.1,3)",Ratio-of-Medians,0.09144128266400184,0.06644831980740815
"Mix(0.1,3)",Ratio-of-Medians,0.10534840158850287,0.06357835030118707
"Mix(0.1,3)",Ratio-of-Medians,0.12137062597899873,0.06067723705103968
"Mix(0.1,3)",Ratio-of-Medians,0.13982963792914008,0.05779259106202621
"Mix(0.1,3)",Ratio-of-Medians,0.1610960435087286,0.05480354288180525
"Mix(0.1,3)",Ratio-of-Medians,0.1855968135118648,0.05179221827846409
"Mix(0.1,3)",Ratio-of-Medians,0.2138238558533658,0.048636103407477815
"Mix(0.1,3)",Ratio-of-Medians,0.24634389172354024,0.04547693669160777
